,InterZone,All people,Area (hectares),simd1_pop,simd2_pop,simd3_pop,simd4_pop,simd5_pop,simdMostPop,simd1_percent,simd2_percent,simd3_percent,simd4_percent,simd5_percent
217,S02001453,3224,126,0,0,0,3224,0,4,0.0,0.0,0.0,1.0,0.0
218,S02001454,4337,204,0,1377,2960,0,0,3,0.0,0.317500576435324,0.6824994235646761,0.0,0.0
219,S02001455,4453,99,4453,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0
220,S02001456,3061,137,0,0,0,2246,815,4,0.0,0.0,0.0,0.7337471414570402,0.2662528585429598
221,S02001457,2925,68,2390,535,0,0,0,1,0.8170940170940171,0.1829059829059829,0.0,0.0,0.0
222,S02001458,4988,146,0,964,0,814,3210,5,0.0,0.19326383319967924,0.0,0.1631916599839615,0.6435445068163592
223,S02001459,3782,94,0,545,0,0,3237,5,0.0,0.14410364886303542,0.0,0.0,0.8558963511369646
224,S02001460,4350,162,0,964,0,649,2737,5,0.0,0.22160919540229884,0.0,0.1491954022988506,0.6291954022988506
225,S02001461,6456,631,0,0,1391,2422,2643,5,0.0,0.0,0.21545848822800495,0.3751548946716233,0.4093866171003718
226,S02001462,6261,176,4111,2150,0,0,0,1,0.6566043762977161,0.343395623702284,0.0,0.0,0.0
227,S02001463,6047,439,1481,2776,0,1790,0,2,0.24491483380188522,0.45907061352736894,0.0,0.29601455267074583,0.0
228,S02001464,5344,182,4163,634,0,547,0,1,0.7790044910179641,0.1186377245508982,0.0,0.10235778443113773,0.0
229,S02001465,3357,198,1731,0,707,0,919,1,0.515638963360143,0.0,0.21060470658325886,0.0,0.27375633005659816
