DataZone,InterZone,MMWard,Council,SPConst,CHP,HBCode
S01006738,S02001276,S13002476,S12000033,S16000075,S03000012,S08000020
S01006739,S02001276,S13002476,S12000033,S16000075,S03000012,S08000020
S01006740,S02001276,S13002476,S12000033,S16000075,S03000012,S08000020
S01006741,S02001276,S13002476,S12000033,S16000075,S03000012,S08000020
S01006742,S02001276,S13002476,S12000033,S16000075,S03000012,S08000020
S01006743,S02001277,S13002476,S12000033,S16000075,S03000012,S08000020
S01006744,S02001277,S13002476,S12000033,S16000075,S03000012,S08000020
S01006745,S02001277,S13002476,S12000033,S16000075,S03000012,S08000020
S01006746,S02001277,S13002476,S12000033,S16000075,S03000012,S08000020
S01006747,S02001277,S13002476,S12000033,S16000075,S03000012,S08000020
S01006748,S02001277,S13002476,S12000033,S16000075,S03000012,S08000020
S01006749,S02001278,S13002476,S12000033,S16000075,S03000012,S08000020
S01006750,S02001278,S13002476,S12000033,S16000075,S03000012,S08000020
S01006751,S02001278,S13002476,S12000033,S16000075,S03000012,S08000020
S01006752,S02001278,S13002476,S12000033,S16000075,S03000012,S08000020
S01006753,S02001278,S13002476,S12000033,S16000075,S03000012,S08000020
S01006754,S02001278,S13002476,S12000033,S16000075,S03000012,S08000020
S01006755,S02001278,S13002476,S12000033,S16000075,S03000012,S08000020
S01006756,S02001279,S13002476,S12000033,S16000075,S03000012,S08000020
S01006757,S02001279,S13002476,S12000033,S16000075,S03000012,S08000020
S01006758,S02001279,S13002476,S12000033,S16000075,S03000012,S08000020
S01006759,S02001279,S13002476,S12000033,S16000075,S03000012,S08000020
S01006760,S02001279,S13002476,S12000033,S16000075,S03000012,S08000020
S01006761,S02001279,S13002476,S12000033,S16000075,S03000012,S08000020
S01006762,S02001280,S13002477,S12000033,S16000075,S03000012,S08000020
S01006763,S02001280,S13002477,S12000033,S16000075,S03000012,S08000020
S01006764,S02001280,S13002477,S12000033,S16000075,S03000012,S08000020
S01006765,S02001280,S13002477,S12000033,S16000075,S03000012,S08000020
S01006766,S02001280,S13002477,S12000033,S16000075,S03000012,S08000020
S01006767,S02001280,S13002477,S12000033,S16000075,S03000012,S08000020
S01006768,S02001281,S13002477,S12000033,S16000075,S03000012,S08000020
S01006769,S02001281,S13002477,S12000033,S16000075,S03000012,S08000020
S01006770,S02001281,S13002477,S12000033,S16000075,S03000012,S08000020
S01006771,S02001281,S13002477,S12000033,S16000075,S03000012,S08000020
S01006772,S02001281,S13002477,S12000033,S16000075,S03000012,S08000020
S01006773,S02001281,S13002477,S12000033,S16000075,S03000012,S08000020
S01006774,S02001281,S13002477,S12000033,S16000075,S03000012,S08000020
S01006775,S02001282,S13002477,S12000033,S16000075,S03000012,S08000020
S01006776,S02001282,S13002477,S12000033,S16000075,S03000012,S08000020
S01006777,S02001282,S13002477,S12000033,S16000075,S03000012,S08000020
S01006778,S02001282,S13002477,S12000033,S16000075,S03000012,S08000020
S01006779,S02001282,S13002477,S12000033,S16000075,S03000012,S08000020
S01006780,S02001282,S13002477,S12000033,S16000075,S03000012,S08000020
S01006781,S02001283,S13002477,S12000033,S16000075,S03000012,S08000020
S01006782,S02001283,S13002477,S12000033,S16000075,S03000012,S08000020
S01006783,S02001283,S13002477,S12000033,S16000075,S03000012,S08000020
S01006784,S02001283,S13002477,S12000033,S16000075,S03000012,S08000020
S01006785,S02001284,S13002477,S12000033,S16000075,S03000012,S08000020
S01006786,S02001284,S13002477,S12000033,S16000075,S03000012,S08000020
S01006787,S02001284,S13002477,S12000033,S16000075,S03000012,S08000020
S01006788,S02001284,S13002477,S12000033,S16000075,S03000012,S08000020
S01006789,S02001285,S13002503,S12000034,S16000078,S03000013,S08000020
S01006790,S02001285,S13002503,S12000034,S16000078,S03000013,S08000020
S01006791,S02001285,S13002503,S12000034,S16000078,S03000013,S08000020
S01006792,S02001285,S13002503,S12000034,S16000078,S03000013,S08000020
S01006793,S02001285,S13002503,S12000034,S16000078,S03000013,S08000020
S01006794,S02001286,S13002503,S12000034,S16000078,S03000013,S08000020
S01006795,S02001286,S13002503,S12000034,S16000078,S03000013,S08000020
S01006796,S02001286,S13002503,S12000034,S16000078,S03000013,S08000020
S01006797,S02001286,S13002504,S12000034,S16000078,S03000013,S08000020
S01006798,S02001286,S13002504,S12000034,S16000078,S03000013,S08000020
S01006799,S02001286,S13002503,S12000034,S16000078,S03000013,S08000020
S01006800,S02001286,S13002504,S12000034,S16000078,S03000013,S08000020
